line,title,author,cited_num,relate,reverse_relate
Highly efficient kinetic resolution of 2-cyclohexenyl acetate in Pd-catalyzed allylic alkylation,Highly efficient kinetic resolution of 2-cyclohexenyl acetate in Pd-catalyzed allylic alkylation,,82,100.00%,100.00%
"Synthesis of 3, 4-O-Isopropylidene- (3S,4S)-dihydroxy-(2R,5R)-bis(diphenylphosphino)hexane and Its Application in Rh-Catalyzed Highly Enantioselective Hydrogenation of Enamides","Synthesis of 3, 4-O-Isopropylidene-(3 S, 4 S)-dihydroxy-(2 R, 5 R)-bis (diphenylphosphino) hexane and Its Application in Rh-Catalyzed Highly Enantioselective …",,66,60.00%,52.63%
Synthesis of Chiral Hydroxyl Phospholanes from D-mannitol and Their Use in Asymmetric Catalytic Reactions,Synthesis of chiral hydroxyl phospholanes from D-mannitol and their use in asymmetric catalytic reactions,,165,42.86%,42.86%
Rh-Catalyzed Enyne Cycloisomerization,Rh-catalyzed enyne cycloisomerization,,142,0.00%,0.00%
The First Highly Enantioselective Rh-Catalyzed Enyne Cycloisomerization,The first highly enantioselective Rh-catalyzed enyne cycloisomerization,,123,14.29%,14.29%
Highly Efficient Asymmetric Synthesis of b-Amino Acid Derivatives via Rhodium-Catalyzed Hydrogenation of b-(Acylamino)acrylate,Highly efficient asymmetric synthesis of β-amino acid derivatives via rhodium-catalyzed hydrogenation of β-(Acylamino) acrylates,,174,30.77%,28.57%
Highly Enantioselective Hydrogenation of Cyclic Enamides Catalyzed by a Rh-PennPhos Catalyst,Highly enantioselective hydrogenation of cyclic enamides catalyzed by a Rh-PennPhos catalyst,,119,45.45%,45.45%
The First Tridentate Ligand for Catalytic Enantioselective Aza-Claisen Rearrangement of Allylic Imidates,The first tridentate ligand for catalytic enantioselective aza-Claisen rearrangement of allylic imidates,,42,25.00%,25.00%
Enantioselective Addition of Diethylzinc to Aldehydes Catalyzed by Chiral Titanate Complexes with a Tetradentate Ligand,Enantioselective addition of diethylzinc to aldehydes catalyzed by chiral titanate complexes with a tetradentate ligand,,65,40.00%,40.00%
"""Body Force Model for the Aerodynamics",A Comprehensive Analytical Model of Rotorcraft Aerodynamics and Dynamics. Part 2. User's Manual,,177,33.33%,15.38%
"of Inclined Perforated Surfaces""",Wave absorbing system using inclined perforated plates,,71,0.00%,0.00%
"""Aerodynamic Performance of Fan Flow De",Aerodynamic flow control over an unconventional airfoil using synthetic jet actuators,,372,0.00%,0.00%
ectors for,Utility of positron emission tomography for the staging of patients with potentially operable esophageal carcinoma,,569,50.00%,6.67%
"Jet Noise Reduction""",Jet Noise Reduction,,0,66.67%,66.67%
"""Turbine Burners:",Turbojet and turbofan engine performance increases through turbine burners,F Liu,122,0.00%,0.00%
"Performance Improvement and Challenge of Flameholding""",Turbine burners: Performance improvement and challenge of flameholding,D Dunn-Rankin F Liu,17,50.00%,37.50%
On the motion of inertial particles by sound waves,On the motion of inertial particles by sound waves,S Elghobashi F Liu,12,100.00%,100.00%
"""Design of Optimal Wing-Body Conguration to Delay",Design of optimal wing-body configuration to delay onset of vortex asymmetry,HM Tsai F Liu,2,42.86%,18.18%
"the Onset of Vortex Asymmetry""",Numerical investigation of the origin of vortex asymmetry,,37,60.00%,25.00%
"""Three-dimensional Aerodynamic Design Optimization",Three-dimensional aerodynamic design optimization of a turbine blade by using an adjoint method,J Xiong F Liu,46,0.00%,0.00%
"of a Turbine Blade by Using an Adjoint Method""",Three-dimensional aerodynamic design optimization of a turbine blade by using an adjoint method,J Xiong F Liu,46,44.44%,30.77%
ASME Journal of Turbomachinery,Protecting turbomachinery from self-excited rotor whirl,,455,0.00%,0.00%
"""Charactersitecs of Fore-body Separate Flow at High Angle",Characteristics of Fore-Body Separate Flow at High Angle of Attack Under Plasma Control,F Liu,0,87.50%,46.15%
"of Attack under Plasma Control""",Separation control on high angle of attack airfoil using plasma actuators,,581,20.00%,9.09%
Effect of Dorsal Fin on the Stability of Vortices over a Delta Wing,Effect of Dorsal Fin on the Stability of Vortices Over a Delta Wing,X Meng F Liu,0,84.62%,84.62%
"""Computation of High-Speed Coaxial",The computation of coaxial line step capacitances,,133,25.00%,14.29%
Jets with Fan Flow De,Modelling and validation of the air flow generated by a cross flow air sprayer as affected by travel speed and fan speed,MA Delele,73,0.00%,0.00%
"ection""",Neonatal anesthesia,,53,0.00%,0.00%
"""Euler Calculations with Embedded Cartesian",Euler calculations with embedded Cartesian grids and small-perturbation boundary conditions,HM Tsai F Liu,7,40.00%,20.00%
"Grids and Small Perturbation Boundary Conditions""",A tutorial on lateral boundary conditions as a basic and potentially serious limitation to regional numerical weather prediction,,399,16.67%,5.56%
"""Numerical Simulation of Vortical Flows in the Near Field",Numerical simulation of vortical flows in the near field of jets from notched circular nozzles,HM Tsai F Liu,17,44.44%,20.00%
"of Jets from Notched Circular Nozzles""",Numerical simulation of vortical flows in the near field of jets from notched circular nozzles,HM Tsai F Liu,17,50.00%,13.33%
"""Supersonic Flutter Analysis Based on a Local Piston",Supersonic flutter analysis based on a local piston theory,CA Zhang F Liu,56,25.00%,22.22%
"Theory""",A mathematical theory of evidence,,16058,0.00%,0.00%
"""Reacting Mixing-Layer Computations in a Simulated",Reacting mixing-layer computations in a simulated turbine-stator passage,F Liu,13,33.33%,25.00%
"Turbine-stator Passage""",Secondary flow effects and mixing of the wake behind a turbine stator,,81,0.00%,0.00%
"""Flow Control over a",A generalized processor sharing approach to flow control in integrated services networks: the single-node case,AK Parekh,4002,0.00%,0.00%
"Conical Forebody Using Duty-cycled Plasma Actuators""",Flow control over a conical forebody using duty-cycled plasma actuators,F Liu X Meng,59,0.00%,0.00%
"""Nonpremixed Combustion in an Accelerating Turn-",Nonpremixed combustion in an accelerating turning transonic flow undergoing transition,F Liu,15,33.33%,20.00%
"ing Transonic Flow Undergoing Transition""",Performance increases for gas-turbine engines through combustion inside the turbine,F Liu,183,0.00%,0.00%
Aerodynamics of Fan Flow De,Aerodynamics of the Wells turbine,,104,40.00%,40.00%
ectors for Jet Noise Suprresion,A new rational approach to jet noise reduction,,35,0.00%,0.00%
"""Stability of Vortex Pairs over Slender Conical Bodies",Stability of vortex pairs over slender conical bodies: Analysis and numerical computation,HM Tsai F Liu,9,25.00%,16.67%
"| Analysis and Numerical Computation""",… for description of a temperature field of a stationary gas in the continuum limit: Examination by asymptotic analysis and numerical computation of the Boltzmann …,S Takata,132,20.00%,4.17%
"""Investigation of Mistuning Eects on Cascade Flutter Using a Coupled",Effects of Structural Coupling on Mistimed Cascade Flutter and,RE Kielb,79,40.00%,44.44%
"Method""",The finite element method,,26377,0.00%,0.00%
"""Electro-osmotic Flow and Mixing in Heterogeneous Microchan-",Electro-osmotic flow and mixing in heterogeneous microchannels,J Zhang F Liu,50,28.57%,28.57%
"nels""",Asian dust events of April 1998,RB Husar,894,0.00%,0.00%
"""Stability of Symmetric and Asymmetric Vortices over Slender",Stability of symmetric and asymmetric vortices over slender conical wing-body combinations,F Liu,9,37.50%,27.27%
"Conical Wing-body Combinations""","Aerodynamic properties of slender wing-body combinations at subsonic, transonic, and supersonic speeds",,55,0.00%,0.00%
Computation of Cascade Flutter by Uncoupled and Coupled Methods,Computation of cascade flutter by uncoupled and coupled methods,F Liu,25,44.44%,44.44%
"""A Numerical Study of Transonic Buet on a Supercritical",Numerical study of transonic buffet on a supercritical airfoil,Q Xiao HM Tsai F Liu,63,44.44%,44.44%
"Airfoil""",Numerical study of the turbulent flow past an airfoil with trailing edge separation,,4760,0.00%,0.00%
Prediction of Flutter of Turbine Blades in a Transonic Annular Cascade,Prediction of flutter of turbine blades in a transonic annular cascade,K Hourigan,30,45.45%,45.45%
A Parallel Viscous Flow Solver On Multi-block Overset Grids,A parallel viscous flow solver on multi-block overset grids,HM Tsai F Liu,40,11.11%,11.11%
"""Flutter Prediction by a Cartesian mesh Euler Method with Small",Flutter prediction by a Cartesian mesh Euler method with small perturbation gridless boundary conditions,F Liu,5,60.00%,42.86%
"Perturbation Gridless Boundary Conditions""",Flutter prediction by an Euler method on non-moving Cartesian grids with gridless boundary conditions,F Liu,26,0.00%,0.00%
"""Computation of Turbulent Separated Nozzle Flow by a Lag",Computation of turbulent separated nozzle flow by a lag model,Q Xiao HM Tsai F Liu,9,33.33%,30.00%
"Model""",Springer Series in Statistics,PJ Diggle PJ Ribeiro,1441,0.00%,0.00%
Calculation of Airfoil Flutter by an Euler Method with Approximate Boundary Conditions,Calculation of airfoil flutter by an Euler method with approximate boundary conditions,S Yang F Liu,32,50.00%,50.00%
"""A Gridless Boundary Condition Method for the Solution of the",A gridless boundary condition method for the solution of the Euler equations on embedded Cartesian meshes with multigrid,F Liu,42,40.00%,22.22%
"Euler Equations on Embedded Cartesian Meshes with Multigrid""",A gridless boundary condition method for the solution of the Euler equations on embedded Cartesian meshes with multigrid,F Liu,42,50.00%,22.22%
Stability of Symmetric and Asymmetric Vortices over Slender Conical Wings and Bodies,Stability of symmetric and asymmetric vortices over slender conical wing-body combinations,F Liu,9,33.33%,45.45%
Numerical Solution of the Unsteady Euler Equations for Airfoils Using Approximate Boundary Conditions,Numerical solution of the unsteady Euler equations for airfoils using approximate boundary conditions,L Feng,7,38.46%,38.46%
"""Three-Dimensional Structures of Flames over Liquid Fuel",Three-dimensional structures of flames over liquid fuel pools,F Liu,14,28.57%,25.00%
"Pools""",Carbon pools and flux of global forest ecosystems,RA Houghton,3872,0.00%,0.00%
"""Solution of the Euler Equations with Approximate Boundary",Numerical solutions of the Euler equations by finite volume methods using Runge-Kutta time-stepping schemes,A Jameson E Turkel,4275,37.50%,21.43%
"Conditions for Thin Airfoils""",Supersonic wave drag of thin airfoils,,146,0.00%,0.00%
"""Computation of Transonic Diuser Flows by a Lagged k-!",Computation of Transonic Diffuser Flows by a Lagged k-? Turbulence Model,Q Xiao HM Tsai F Liu,22,66.67%,54.55%
"Turbulence Model""",Development of a turbulence closure model for geophysical fluid problems,GL Mellor,6506,0.00%,0.00%
Stability of Symmetric Vortices in Two-Dimensions and over Three-Dimensional Slender Conical Bodies,Stability of symmetric vortices in two dimensions and over three-dimensional slender conical bodies,F Liu,40,41.67%,38.46%
Three-Dimensional Flame Propagation Above Liquid Fuel Pools,Three-dimensional flame propagation above liquid fuel pools,F Liu,12,0.00%,0.00%
Unsteady Flow Calculations with a Parallel Multiblock Moving Mesh Algorithm,Unsteady flow calculations with a parallel multiblock moving mesh algorithm,HM Tsai F Liu,104,30.00%,30.00%
"""Ignition and Flame Studies for an Accelerating Tran-",Ignition and flame studies for an accelerating transonic mixing layer,F Liu,30,37.50%,30.00%
"sonic Mixing Layer,""""""",Compressible mixing layer growth rate and turbulence characteristics,AW Vreman ND Sandham,267,0.00%,0.00%
"""Development and Validation of a Massively",Development and validation of a clinical cancer genomic profiling test based on massively parallel DNA sequencing,GM Frampton,601,50.00%,18.75%
"Parallel Flow Solver for Turbomachinery Flows,""""""",Development and validation of a massively parallel flow solver for turbomachinery flows,A Jameson F Liu,72,16.67%,8.33%
Calculation of Wing Flutter by a Coupled Fluid-Structure Method,Calculation of wing flutter by a coupled fluid-structure method,F Liu HM Tsai,175,44.44%,44.44%
"""Turbojet and Turbofan Engine Performance Increases Through",Turbojet and turbofan engine performance increases through turbine burners,F Liu,122,14.29%,11.11%
"Turbine Burners""",Turbojet and turbofan engine performance increases through turbine burners,F Liu,122,0.00%,0.00%
Computation of Mistuning Eects on Cascade Flutter,Computation of mistuning effects on cascade flutter,F Liu,52,42.86%,42.86%
"""Level-Set-Based Deformation",Level-set-based deformation methods for adaptive grids,F Liu S Osher,51,0.00%,0.00%
"Methods for Adaptive Grids""",Optimal multilevel iterative methods for adaptive grids,,115,25.00%,14.29%
Flutter Computation of Turbomachinery Cascades Using a Parallel Unsteady Navier-Stokes Code,Flutter computation of turbomachinery cascades using a parallel unsteady Navier-Stokes code,F Liu,42,36.36%,36.36%
Performance Increases for Gas-Turbine Engines Through Combustion Inside the Turbine,Performance increases for gas-turbine engines through combustion inside the turbine,F Liu,183,30.00%,30.00%
"""Turbulent Transition Simulation Using the k-!",Simulation of transition with a two-equation turbulence model,,560,16.67%,12.50%
"Model""",Springer Series in Statistics,PJ Diggle PJ Ribeiro,1441,0.00%,0.00%
"""An Adaptive Grid Method and Its Application to Steady Euler",An adaptive grid method and its application to steady Euler flow calculations,F Liu,85,30.00%,25.00%
"Flow Calculations""",A simplified MAC technique for incompressible fluid flow calculations,,550,0.00%,0.00%
"""A Strongly-Coupled Time-Marching Method for Solving the Navier-Stokes",A Strongly Coupled Time-Marching Method for Solving the Navier–Stokes andk-ω Turbulence Model Equations with Multigrid,F Liu X Zheng,97,62.50%,33.33%
"and k-! Turbulence Model Equations with Multigrid""",Predictions of channel and boundary-layer flows with a low-Reynolds-number turbulence model,,1468,28.57%,18.18%
Unsteady Flow Calculations with a Multigrid Navier-Stokes Method,Unsteady flow calculations with a multigrid Navier-Stokes method,F Liu,48,50.00%,50.00%
"""Large Amplitude Liquid Sloshing in Seismically Excited",Large amplitude liquid sloshing in seismically excited tanks,F Liu,118,14.29%,12.50%
"Tanks""",[CITATION][C] Fluid mixing and gas dispersion in agitated tanks,,435,0.00%,0.00%
"""Staggered Upwind Method for Solving Navier-Stokes and k-! Turbulence",Staggered Upwind Method for Solving Navier-Stokes and Turbulence Model Equations,X Zheng F Liu,31,77.78%,70.00%
"Model Equations""",Model equations for long waves in nonlinear dispersive systems,,1740,50.00%,11.11%
"""Staggered Finite Volume Scheme for Cascade Flow with a k-! Turbulence",Staggered Finite Volume Scheme for Solving Cascade Flow with a A> oo Turbulence Model,F Liu X Zhengt,40,81.82%,64.29%
"Model""",Springer Series in Statistics,PJ Diggle PJ Ribeiro,1441,0.00%,0.00%
Multigrid Navier-Stokes Calculations for Three-dimensional Cascades,Multigrid Navier-Stokes calculations for three-dimensional cascades,F Liu A Jameson,64,50.00%,50.00%
Cascade Flow Calculations by a Multigrid Euler Method,Cascade flow calculations by a multigrid Euler method.,F Liu A Jameson,18,50.00%,50.00%
"""The Universe in a Box I: Thermal Eects in",The universe in a box-Thermal effects in the standard cold dark matter scenario,JP Ostriker A Jameson,78,33.33%,23.08%
"the Standard Cold Dark Matter Scenario""",Observational evidence for self-interacting cold dark matter,DN Spergel,1389,0.00%,0.00%
"""Research on an Implicit Approximate-Factorization Finite-Dierence Method",An artificial compressibility method for incompressible flows,,34,0.00%,0.00%
"for the Euler Equations""",Numerical solutions of the Euler equations by finite volume methods using Runge-Kutta time-stepping schemes,A Jameson E Turkel,4275,50.00%,14.29%
Modification of Polyurethane with Polyethylene Glycol–Corn Trypsin Inhibitor for Inhibition of Factor Xlla in Blood Contact,Modification of Polyurethane with Polyethylene Glycol–Corn Trypsin Inhibitor for Inhibition of Factor Xlla in Blood Contact,S Zhu,7,100.00%,100.00%
Surface modification with polyethylene glycol–corn trypsin inhibitor conjugate to inhibit the contact factor pathway on blood-contacting surfaces,Surface modification with polyethylene glycol–corn trypsin inhibitor conjugate to inhibit the contact factor pathway on blood-contacting surfaces,S Zhu,15,100.00%,100.00%
Methacrylate polymer layers bearing poly(ethylene oxide) and phosphorylcholine side chains as non-fouling surfaces: In vitro interactions with plasma proteins and platelets,Methacrylate polymer layers bearing poly (ethylene oxide) and phosphorylcholine side chains as non-fouling surfaces: in vitro interactions with plasma proteins and …,S Zhu,45,80.95%,85.71%
Controlled chattering on PMMA and epoxy: Effect of crosslinking and cutting speed on pattern formation,Controlled chattering on PMMA and epoxy: Effect of crosslinking and cutting speed on pattern formation,S Zhu,3,100.00%,100.00%
Toward Well-Controlled ab Initio RAFT Emulsion Polymerization of Styrene Mediated by 2-(((Dodecylsulfanyl)carbonothioyl)sulfanyl)propanoic Acid,Toward well-controlled ab initio RAFT emulsion polymerization of styrene mediated by 2-(((dodecylsulfanyl) carbonothioyl) sulfanyl) propanoic acid,X Wang S Zhu,47,38.46%,31.25%
Surface modification with PEG and hirudin for protein resistance and thrombin neutralization in blood contact,Surface modification with PEG and hirudin for protein resistance and thrombin neutralization in blood contact,S Zhu,69,100.00%,100.00%
"Identification of 2,4-D-responsive proteins in embryogenic callus of Valencia sweet orange ( Citrus sinensis Osbeck) following osmotic stress","Identification of 2, 4-D-responsive proteins in embryogenic callus of Valencia sweet orange (Citrus sinensis Osbeck) following osmotic stress",R Guan,32,83.33%,83.33%
Protein-Resistant Materials via Surface-Initiated Atom Transfer Radical Polymerization of 2-Methacryloyloxyethyl Phosphorylcholine,Protein-resistant materials via surface-initiated atom transfer radical polymerization of 2-methacryloyloxyethyl phosphorylcholine,S Zhu,15,18.18%,18.18%
Nanoscale patterning through self-assembly of hydrophilic block copolymers with one chain end constrained to surface,Nanoscale patterning through self-assembly of hydrophilic block copolymers with one chain end constrained to surface,S Zhu,16,100.00%,100.00%
Hybrid atom transfer radical polymerization system for balanced polymerization rate and polymer molecular weight control,Hybrid atom transfer radical polymerization system for balanced polymerization rate and polymer molecular weight control,S Zhu,13,100.00%,100.00%
Facile Inkjet-Printing Self-Aligned Electrodes for Organic Thin-Film Transistor Arrays with Small and Uniform Channel Length,Facile inkjet-printing self-aligned electrodes for organic thin-film transistor arrays with small and uniform channel length,Y Wu S Zhu,29,26.67%,26.67%
"Stability study of inverse suspension copolymerization of 1,1,3,3-tetramethylguandium acrylate and N,N′-methylenebisacrylamide","Stability study of inverse suspension copolymerization of 1, 1, 3, 3‐tetramethylguandium acrylate and N, N′‐methylenebisacrylamide",J Dong S Zhu,2,81.82%,60.00%
Kinetic Modeling of Surface-Initiated Atom Transfer Radical Polymerization,Kinetic Modeling of Surface‐Initiated Atom Transfer Radical Polymerization,S Zhu,30,87.50%,87.50%
Polystyrene-block-poly(n-butyl acrylate)-block-polystyrene Triblock Copolymer Thermoplastic Elastomer Synthesized via RAFT Emulsion Polymerization,Polystyrene-block-poly (n-butyl acrylate)-block-polystyrene triblock copolymer thermoplastic elastomer synthesized via RAFT emulsion polymerization,X Wang S Zhu,82,27.27%,25.00%
High-Performance Polythiophene Thin-Film Transistors Processed with Environmentally Benign Solvent,High-performance polythiophene thin-film transistors processed with environmentally benign solvent,Y Wu BS Ong S Zhu,29,11.11%,11.11%
ATRP grafting of oligo(ethylene glycol) methacrylates from gold surface - Effect of monomer size on grafted chain and EO unit densities,ATRP grafting of oligo (ethylene glycol) methacrylates from gold surface—Effect of monomer size on grafted chain and EO unit densities,S Zhu,6,80.95%,85.00%
Synthesis and Characterization of Hyperbranched Polyacrylamide Using Semibatch Reversible Addition-Fragmentation Chain Transfer (RAFT) Polymerization,Synthesis and Characterization of Hyperbranched Polyacrylamide Using Semibatch Reversible Addition− Fragmentation Chain Transfer (RAFT) Polymerization,WJ Wang D Wang S Zhu,43,92.86%,86.67%
Proteomic analysis of somatic embryogenesis in Valencia sweet orange ( Citrus sinensis Osbeck),Proteomic analysis of somatic embryogenesis in Valencia sweet orange (Citrus sinensis Osbeck),R Guan,76,84.62%,91.67%
Preparation and SO sorption/desorption behavior of an Ionic liquid supported on porous silica particles,Preparation and SO2 sorption/desorption behavior of an ionic liquid supported on porous silica particles,J Dong,66,85.71%,85.71%
Protein-resistant polyurethane prepared by surface-initiated atom transfer radical graft polymerization (ATRgP) of water-soluble polymers: Effects of main chain and side chain lengths of grafts,Protein-resistant polyurethane prepared by surface-initiated atom transfer radical graft polymerization (ATRgP) of water-soluble polymers: effects of main chain and …,S Zhu,44,70.83%,100.00%
Modeling of Branching and Gelation in RAFT Copolymerization of Vinyl/Divinyl Systems,Modeling of branching and gelation in RAFT copolymerization of vinyl/divinyl systems,R Wang S Zhu,71,54.55%,54.55%
Chain Conformation of a New Class of PEG-Based Thermoresponsive Polymer Brushes Grafted on Silicon as Determined by Neutron Reflectometry,Chain conformation of a new class of PEG-based thermoresponsive polymer brushes grafted on silicon as determined by neutron reflectometry,MP Nieh J Katsaras S Zhu,66,36.84%,36.84%
Ab Initio Batch Emulsion RAFT Polymerization of Styrene Mediated by Poly(acrylic acid-b-styrene) Trithiocarbonate,Ab initio batch emulsion RAFT polymerization of styrene mediated by poly (acrylic acid-b-styrene) trithiocarbonate,X Wang S Zhu,83,38.46%,35.71%
Preparation of Polar Ethylene-Norbornene Copolymers by Metallocene Terpolymerization with Triisobutylaluminium-Protected But3-en-1-ol,Preparation of Polar Ethylene–Norbornene Copolymers by Metallocene Terpolymerization with Triisobutylaluminium‐Protected But‐3‐en‐1‐ol,S Zhu,21,72.73%,72.73%
Preparation of Ni g-polymer core–shell nanoparticles by surface-initiated atom transfer radical polymerization,Preparation of Ni-g-polymer core–shell nanoparticles by surface-initiated atom transfer radical polymerization,S Zhu,20,83.33%,90.91%
Novel High-Performance Liquid-Crystalline Organic Semiconductors for Thin-Film Transistors,Novel high-performance liquid-crystalline organic semiconductors for thin-film transistors,Y Wu Y Li BS Ong,44,25.00%,25.00%
Model-based design and synthesis of gradient MMA/tBMA copolymers by computer-programmed semibatch atom transfer radical copolymerization,Model‐based design and synthesis of gradient MMA/tBMA copolymers by computer‐programmed semibatch atom transfer radical copolymerization,C Ye,28,86.67%,86.67%
Protein-resistant polyurethane via surface-initiated atom transfer radical polymerization of oligo(ethylene glycol) methacrylate,Protein‐resistant polyurethane via surface‐initiated atom transfer radical polymerization of oligo (ethylene glycol) methacrylate,S Zhu,34,75.00%,69.23%
Effect of monomer composition on apparent chain transfer coefficient in reversible addition fragmentation transfer (RAFT) copolymerization,Effect of monomer composition on apparent chain transfer coefficient in reversible addition fragmentation transfer (RAFT) copolymerization,R Wang S Zhu,6,100.00%,100.00%
RAFT GRAFTING POLYMERIZATION OF MMA/St FROM SURFACE OF SILICON WAFER,[CITATION][C] RAFT grafting polymerization of MMA/St from surface of silicon wafer,,4,20.00%,18.18%
"Comparison of reaction kinetics and gelation behaviors in atom transfer, reversible addition–fragmentation chain transfer and conventional free radical copolymerization of oligo(ethylene glycol) methyl ether methacrylate and oligo(ethylene glycol) dimethacrylate","Comparison of reaction kinetics and gelation behaviors in atom transfer, reversible addition–fragmentation chain transfer and conventional free radical …",S Zhu,43,58.62%,105.56%
Inkjet printing narrow electrodes with <50 mum line width and channel length for organic thin-film transistors,Contact resistance of inkjet-printed silver source–drain electrodes in bottom-contact OTFTs,S Chung J Jeong,21,6.25%,10.00%
Diffusion of semi-flexible polyelectrolyte through nanochannels,Diffusion of semi‐flexible polyelectrolyte through nanochannels,S Zhu,4,83.33%,83.33%
Phase Behavior of Ternary Homopolymer/Gradient Copolymer Blends,Phase behavior of ternary homopolymer/gradient copolymer blends,R Wang AC Shi S Zhu,44,28.57%,28.57%
Model development for semicontinuous production of ethylene and norbornene copolymers having uniform composition,Model development for semicontinuous production of ethylene and norbornene copolymers having uniform composition,S Zhu,8,100.00%,100.00%
Polypropylene and Ethylene−Propylene Copolymer Reactor Alloys Prepared by Metallocene/Ziegler−Natta Hybrid Catalyst,Polypropylene and Ethylene− Propylene Copolymer Reactor Alloys Prepared by Metallocene/Ziegler− Natta Hybrid Catalyst,S Zhu,20,81.82%,69.23%
Higher-molecular-weight hyperbranched polyethylenes containing crosslinking structures as lubricant viscosity-index improvers,Higher‐molecular‐weight hyperbranched polyethylenes containing crosslinking structures as lubricant viscosity‐index improvers,Z Ye,26,80.00%,80.00%
Characterising the phase behaviour of stearic acid and its triethanolamine soap and acid–soap by infrared spectroscopy,Characterising the phase behaviour of stearic acid and its triethanolamine soap and acid–soap by infrared spectroscopy,PDA Pudney,14,100.00%,100.00%
Characterising the phase behaviour of stearic acid and its triethanolamine soap and acid-soap by infrared spectroscopy,Characterising the phase behaviour of stearic acid and its triethanolamine soap and acid–soap by infrared spectroscopy,PDA Pudney,14,93.75%,93.75%
Modification of polyethersulfone ultrafiltration membranes with phosphorylcholine copolymer can remarkably improve the antifouling and permeation properties,Modification of polyethersulfone ultrafiltration membranes with phosphorylcholine copolymer can remarkably improve the antifouling and permeation properties,H Wang,86,100.00%,100.00%
Zwitterionic polyethersulfone ultrafiltration membrane with superior antifouling property,Zwitterionic polyethersulfone ultrafiltration membrane with superior antifouling property,,122,100.00%,100.00%
Synthesis and characterization of hyperbranched polyethylenes containing cross-linking structures by chain walking copolymerization of ethylene with diacrylate comonomer,Synthesis and characterization of hyperbranched polyethylenes containing cross-linking structures by chain walking copolymerization of ethylene with diacrylate …,Z Ye S Zhu,35,88.89%,94.12%
Reaction Behavior and Network Development in RAFT Radical Polymerization of Dimethacrylates,Reaction behavior and network development in RAFT radical polymerization of dimethacrylates,S Zhu,60,45.45%,45.45%
A Facile Method of Forming Nanoscale Patterns on Poly(ethylene glycol)Based Surfaces by Self-Assembly of Randomly Grafted Block Copolymer Brushes,A facile method of forming nanoscale patterns on poly (ethylene glycol)-based surfaces by self-assembly of randomly grafted block copolymer brushes,S Zhu,54,26.32%,25.00%
Effect of rate retardation in RAFT grafting polymerization from silicon wafer surface,Effect of rate retardation in RAFT grafting polymerization from silicon wafer surface,D Li S Zhu,26,100.00%,100.00%
Grafting Acrylic Polymers from Flat Nickel and Copper Surfaces by Surface-Initiated Atom Transfer Radical Polymerization,Grafting acrylic polymers from flat nickel and copper surfaces by surface-initiated atom transfer radical polymerization,S Zhu,42,26.67%,26.67%
Chain-topology-controlled hyperbranched polyethylene as effective polymer processing aid (PPA) for extrusion of a metallocene linear-low-density polyethylene (mLLDPE),Chain-topology-controlled hyperbranched polyethylene as effective polymer processing aid (PPA) for extrusion of a metallocene linear-low-density polyethylene …,J Wang M Kontopoulou Z Ye,24,88.24%,100.00%
Semibatch RAFT polymerization for producing ST/BA copolymers with controlled gradient composition profiles,Semibatch RAFT polymerization for producing ST/BA copolymers with controlled gradient composition profiles,R Wang S Zhu,56,100.00%,100.00%
Interactions of poly(2-methacryloyloxyethyl phosphorylcholine) with various salts studied by size exclusion chromatography,Interactions of poly (2-methacryloyloxyethyl phosphorylcholine) with various salts studied by size exclusion chromatography,S Zhu,23,91.67%,84.62%
Effect of Catalysts Supporting on Tandem Polymerization of Ethylene Stock in Synthesis of Ethylene−1Hexene Copolymer,Effect of Catalysts Supporting on Tandem Polymerization of Ethylene Stock in Synthesis of Ethylene− 1-Hexene Copolymer,S Zhu,21,93.33%,87.50%
Kinetics and Modeling of Vinyl Acetate Graft Polymerization from Poly(ethylene glycol),Kinetics and modeling of vinyl acetate graft polymerization from poly (ethylene glycol),X Zhu Y Zheng S Zhu,2,45.45%,41.67%
Macromol. React. Eng. 4/2008,Macromol. React. Eng. 4/2008,X Zhu S Zhu,0,100.00%,100.00%
Diffusion-controlled atom transfer radical polymerization with crosslinking,Diffusion‐controlled atom transfer radical polymerization with crosslinking,J Li S Zhu,17,85.71%,85.71%
RAPID DETECTION METHOD OF THE SPICY COMPONENTS IN ZANTHOXYLUM BUNGEAGUM MAXIM BY NEAR INFRARED SPECTROSCOPY,[CITATION][C] Rapid detection method of the spicy components in zanthoxylum bungeagum maxim by near infrared spectroscopy,,1,0.00%,0.00%
"Low-Temperature, Solution-Processed, High-Mobility Polymer Semiconductors for Thin-Film Transistors","Low-temperature, solution-processed, high-mobility polymer semiconductors for thin-film transistors",Y Li Y Wu BS Ong S Zhu,340,12.50%,12.50%
A facile method for synthesis of pegylated polyethersulfone and its application in fabrication of antifouling ultrafiltration membrane,A facile method for synthesis of pegylated polyethersulfone and its application in fabrication of antifouling ultrafiltration membrane,S Zhu,124,100.00%,100.00%
Fundamentals and development of high-efficiency supported catalyst systems for atom transfer radical polymerization,Fundamentals and development of high‐efficiency supported catalyst systems for atom transfer radical polymerization,S Zhu,52,92.31%,92.31%
Control of gradient copolymer composition in ATRP using semibatch feeding policy,Control of gradient copolymer composition in ATRP using semibatch feeding policy,R Wang S Zhu,63,100.00%,100.00%
