A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,C Guo,89,100.00%,100.00%
High-Field Atherosclerotic Plaque Magnetic Resonance Imaging,High-field atherosclerotic plaque magnetic resonance imaging,C Yuan J Wang,8,0.00%,0.00%
Discriminating carotid atherosclerotic lesion severity by luminal stenosis and plaque burden: A comparison utilizing high-resolution magnetic resonance imaging at 3.0 tesla,Discriminating carotid atherosclerotic lesion severity by luminal stenosis and plaque burden,,63,47.62%,90.91%
Fast plaque burden assessment of the femoral artery using 3D black-blood MRI and automated segmentation,Fast plaque burden assessment of the femoral artery using 3D black‐blood MRI and automated segmentation,B Chiu J Sun J Wang,13,93.33%,93.33%
Time-efficient black blood RCA wall imaging at 3T using improved motion sensitized driven equilibrium (iMSDE): Feasibility and reproducibility,Time-efficient black blood RCA wall imaging at 3T using improved motion sensitized driven equilibrium (iMSDE): feasibility and reproducibility,J Wang ME Kooi,7,94.44%,94.44%
Correlation of coronary plaque phenotype and carotid atherosclerotic plaque composition,Correlation of coronary plaque phenotype and carotid atherosclerotic plaque composition,C Yuan,15,100.00%,100.00%
Intravascular 3.0 T MRI Using an Imaging-Guidewire: A Feasibility Study in Swine,Intravascular 3.0 T MRI using an imaging-guidewire: a feasibility study in swine,F Zhang J Wang C Yuan,5,50.00%,50.00%
Carotid artery atherosclerosis: Effect of intensive lipid therapy on the vasa vasorum - Evaluation by using dynamic contrast-enhanced MR imaging,Carotid artery atherosclerosis: effect of intensive lipid therapy on the vasa vasorum—evaluation by using dynamic contrast-enhanced MR imaging,H Chen,72,80.00%,88.89%
Superficial femoral artery plaque and functional performance in peripheral arterial disease: Walking and leg circulation study (Walcs III),Superficial femoral artery plaque and functional performance in peripheral arterial disease: walking and leg circulation study (WALCS III),TJ Carroll,18,88.89%,88.89%
Impact of flow rates in a cardiac cycle on correlations between advanced human carotid plaque progression and mechanical flow shear stress and plaque wall stress,Impact of flow rates in a cardiac cycle on correlations between advanced human carotid plaque progression and mechanical flow shear stress and plaque …,G Canton C Yuan,12,88.00%,104.35%
Extended graphical model for analysis of dynamic contrast-enhanced MRI,Extended graphical model for analysis of dynamic contrast‐enhanced MRI,H Chen C Yuan,22,88.89%,88.89%
"Superficial femoral artery plaque, the ankle-brachial index, and leg symptoms in peripheral arterial disease the walking and leg circulation study (WALCS) III","Superficial Femoral Artery Plaque, the Ankle-Brachial Index, and Leg Symptoms in Peripheral Arterial Disease",MH Criqui,16,18.18%,42.86%
MR imaging of carotid plaque composition during lipid-lowering therapy: A prospective assessment of effect and time course,MR imaging of carotid plaque composition during lipid-lowering therapy: a prospective assessment of effect and time course,,92,94.12%,94.12%
What will noninvasive carotid atherosclerosis imaging show us about high-risk coronary plaques?,What will noninvasive carotid atherosclerosis imaging show us about high-risk coronary plaques?,C Yuan,4,100.00%,100.00%
Fast bound pool fraction imaging of the in vivo rat brain: Association with myelin content and validation in the C6 glioma model,Fast bound pool fraction imaging of the in vivo rat brain: association with myelin content and validation in the C6 glioma model,C Yuan,58,95.45%,95.45%
Carotid plaque assessment using fast 3D isotropic resolution black-blood MRI,Carotid plaque assessment using fast 3D isotropic resolution black‐blood MRI,J Wang,98,90.00%,90.00%
Carotid MRI: A tool for monitoring individual response to cardiovascular therapy?,Carotid MRI: a tool for monitoring individual response to cardiovascular therapy?,C Yuan,14,90.91%,90.91%
Intraplaque hemorrhage is associated with higher structural stresses in human atherosclerotic plaques: An in vivo MRI-based 3d fluid-structure interaction study,Intraplaque hemorrhage is associated with higher structural stresses in human atherosclerotic plaques: an in vivo MRI-based 3D fluid-structure interaction …,Z Teng G Canton,30,80.00%,84.21%
Prevalence of compositional features in subclinical carotid atherosclerosis determined by high-resolution magnetic resonance imaging in chinese patients with coronary artery disease,Prevalence of compositional features in subclinical carotid atherosclerosis determined by high-resolution magnetic resonance imaging in Chinese patients with …,XH Zhou,17,76.19%,88.89%
A noninvasive imaging approach to assess plaque severity: The carotid atherosclerosis score,A noninvasive imaging approach to assess plaque severity: the carotid atherosclerosis score,,55,91.67%,91.67%
MRI plaque imaging and its role in population-based studies,MRI plaque imaging and its role in population-based studies,C Yuan,0,100.00%,100.00%
"The association of lesion eccentricity with plaque morphology and components in the superficial femoral artery: A high-spatial-resolution, multi-contrast weighted CMR study","The association of lesion eccentricity with plaque morphology and components in the superficial femoral artery: a high-spatial-resolution, multi-contrast …",,42,76.19%,88.89%
Imaging biomarkers of cardiovascular disease,Imaging biomarkers of cardiovascular disease,J Wang G Canton,27,100.00%,100.00%
"""A combined solenoid-surface RF coil for high-resolution whole-brain rat imaging on a 3.0 tesla clinical MR scanner",A combined solenoid‐surface RF coil for high‐resolution whole‐brain rat imaging on a 3.0 tesla clinical MR scanner,C Yuan CE Hayes,10,76.47%,76.47%
Quantitative evaluation of high intensity signal on MIP images of carotid atherosclerotic plaques from routine TOF-MRA reveals elevated volumes of intraplaque hemorrhage and lipid rich necrotic core,Quantitative evaluation of high intensity signal on MIP images of carotid atherosclerotic plaques from routine TOF-MRA reveals elevated volumes of …,,21,70.37%,100.00%
Characteristics of carotid atherosclerotic plaques of chronic lipid apheresis patients as assessed by in Vivo High-Resolution CMR - A comparative analysis,Characteristics of carotid atherosclerotic plaques of chronic lipid apheresis patients as assessed by In Vivo High-Resolution CMR-a comparative analysis,K Nikolaou,17,80.95%,89.47%
Quantifying effect of intraplaque hemorrhage on critical plaque wall stress in human atherosclerotic plaques using three-dimensional fluid-structure interaction models,Quantifying effect of intraplaque hemorrhage on critical plaque wall stress in human atherosclerotic plaques using three-dimensional fluid-structure interaction models,G Canton,14,100.00%,100.00%
Plaque characteristics in the superficial femoral artery correlate with walking impairment questionnaire scores in peripheral arterial disease: The Walking and leg Circulation Study (WALCS) iii,Plaque Characteristics in the Superficial Femoral Artery Correlate with Walking Impairment Questionnaire Scores in Peripheral Arterial Disease: The Walking and Leg …,TJ Carroll,0,36.00%,38.10%
Accuracy of MRI to identify the coronary artery plaque: A comparative study with intravascular ultrasound,Accuracy of MRI to identify the coronary artery plaque: a comparative study with intravascular ultrasound,,32,93.33%,93.33%
MRI of auto-transplantation of bone marrow-derived stem-progenitor cells for potential repair of injured arteries,MRI of auto-transplantation of bone marrow-derived stem-progenitor cells for potential repair of injured arteries,Y Meng F Zhang J Wang,9,100.00%,100.00%
"Prevalence of nonstenosing, complicated atherosclerotic plaques in cryptogenic stroke","Prevalence of nonstenosing, complicated atherosclerotic plaques in cryptogenic stroke",,105,100.00%,100.00%
Using in vivo cine and 3d multi-contrast MRI to determine human atherosclerotic carotid artery material properties and circumferential shrinkage rate and their impact on stress/strain predictions,Using in vivo Cine and 3D multi-contrast MRI to determine human atherosclerotic carotid artery material properties and circumferential shrinkage rate and their impact …,G Canton C Yuan,20,76.92%,86.96%
High-Field Atherosclerotic Plaque Magnetic Resonance Imaging,High-field atherosclerotic plaque magnetic resonance imaging,C Yuan J Wang,8,0.00%,0.00%
Discriminating carotid atherosclerotic lesion severity by luminal stenosis and plaque burden: A comparison utilizing high-resolution magnetic resonance imaging at 3.0 tesla,Discriminating carotid atherosclerotic lesion severity by luminal stenosis and plaque burden,,63,47.62%,90.91%
Fast plaque burden assessment of the femoral artery using 3D black-blood MRI and automated segmentation,Fast plaque burden assessment of the femoral artery using 3D black‐blood MRI and automated segmentation,B Chiu J Sun J Wang,13,93.33%,93.33%
Time-efficient black blood RCA wall imaging at 3T using improved motion sensitized driven equilibrium (iMSDE): Feasibility and reproducibility,Time-efficient black blood RCA wall imaging at 3T using improved motion sensitized driven equilibrium (iMSDE): feasibility and reproducibility,J Wang ME Kooi,7,94.44%,94.44%
Correlation of coronary plaque phenotype and carotid atherosclerotic plaque composition,Correlation of coronary plaque phenotype and carotid atherosclerotic plaque composition,C Yuan,15,100.00%,100.00%
Intravascular 3.0 T MRI Using an Imaging-Guidewire: A Feasibility Study in Swine,Intravascular 3.0 T MRI using an imaging-guidewire: a feasibility study in swine,F Zhang J Wang C Yuan,5,50.00%,50.00%
Carotid artery atherosclerosis: Effect of intensive lipid therapy on the vasa vasorum - Evaluation by using dynamic contrast-enhanced MR imaging,Carotid artery atherosclerosis: effect of intensive lipid therapy on the vasa vasorum—evaluation by using dynamic contrast-enhanced MR imaging,H Chen,72,80.00%,88.89%
Superficial femoral artery plaque and functional performance in peripheral arterial disease: Walking and leg circulation study (Walcs III),Superficial femoral artery plaque and functional performance in peripheral arterial disease: walking and leg circulation study (WALCS III),TJ Carroll,18,88.89%,88.89%
Impact of flow rates in a cardiac cycle on correlations between advanced human carotid plaque progression and mechanical flow shear stress and plaque wall stress,Impact of flow rates in a cardiac cycle on correlations between advanced human carotid plaque progression and mechanical flow shear stress and plaque …,G Canton C Yuan,12,88.00%,104.35%
Extended graphical model for analysis of dynamic contrast-enhanced MRI,Extended graphical model for analysis of dynamic contrast‐enhanced MRI,H Chen C Yuan,22,88.89%,88.89%
"Superficial femoral artery plaque, the ankle-brachial index, and leg symptoms in peripheral arterial disease the walking and leg circulation study (WALCS) III","Superficial Femoral Artery Plaque, the Ankle-Brachial Index, and Leg Symptoms in Peripheral Arterial Disease",MH Criqui,16,18.18%,42.86%
MR imaging of carotid plaque composition during lipid-lowering therapy: A prospective assessment of effect and time course,MR imaging of carotid plaque composition during lipid-lowering therapy: a prospective assessment of effect and time course,,92,94.12%,94.12%
What will noninvasive carotid atherosclerosis imaging show us about high-risk coronary plaques?,What will noninvasive carotid atherosclerosis imaging show us about high-risk coronary plaques?,C Yuan,4,100.00%,100.00%
Fast bound pool fraction imaging of the in vivo rat brain: Association with myelin content and validation in the C6 glioma model,Fast bound pool fraction imaging of the in vivo rat brain: association with myelin content and validation in the C6 glioma model,C Yuan,58,95.45%,95.45%
Carotid plaque assessment using fast 3D isotropic resolution black-blood MRI,Carotid plaque assessment using fast 3D isotropic resolution black‐blood MRI,J Wang,98,90.00%,90.00%
Carotid MRI: A tool for monitoring individual response to cardiovascular therapy?,Carotid MRI: a tool for monitoring individual response to cardiovascular therapy?,C Yuan,14,90.91%,90.91%
Intraplaque hemorrhage is associated with higher structural stresses in human atherosclerotic plaques: An in vivo MRI-based 3d fluid-structure interaction study,Intraplaque hemorrhage is associated with higher structural stresses in human atherosclerotic plaques: an in vivo MRI-based 3D fluid-structure interaction …,Z Teng G Canton,30,80.00%,84.21%
Prevalence of compositional features in subclinical carotid atherosclerosis determined by high-resolution magnetic resonance imaging in chinese patients with coronary artery disease,Prevalence of compositional features in subclinical carotid atherosclerosis determined by high-resolution magnetic resonance imaging in Chinese patients with …,XH Zhou,17,76.19%,88.89%
A noninvasive imaging approach to assess plaque severity: The carotid atherosclerosis score,A noninvasive imaging approach to assess plaque severity: the carotid atherosclerosis score,,55,91.67%,91.67%
MRI plaque imaging and its role in population-based studies,MRI plaque imaging and its role in population-based studies,C Yuan,0,100.00%,100.00%
"The association of lesion eccentricity with plaque morphology and components in the superficial femoral artery: A high-spatial-resolution, multi-contrast weighted CMR study","The association of lesion eccentricity with plaque morphology and components in the superficial femoral artery: a high-spatial-resolution, multi-contrast …",,42,76.19%,88.89%
Imaging biomarkers of cardiovascular disease,Imaging biomarkers of cardiovascular disease,J Wang G Canton,27,100.00%,100.00%
"""A combined solenoid-surface RF coil for high-resolution whole-brain rat imaging on a 3.0 tesla clinical MR scanner",A combined solenoid‐surface RF coil for high‐resolution whole‐brain rat imaging on a 3.0 tesla clinical MR scanner,C Yuan CE Hayes,10,76.47%,76.47%
Advanced human carotid plaque progression correlates positively with flow shear stress using follow-up scan data: An in vivo MRI multi-patient 3D FSI study,Advanced human carotid plaque progression correlates positively with flow shear stress using follow-up scan data: an in vivo MRI multi-patient 3D FSI study,G Canton C Yuan,56,95.65%,95.65%
Ferritin overexpression for noninvasive magnetic resonance imaging-based tracking of stem cells transplanted into the heart,Ferritin overexpression for noninvasive magnetic resonance imaging–based tracking of stem cells transplanted into the heart,,63,93.33%,93.33%
MR carotid plaque imaging and contrast-enhanced MR angiography identifies lesions associated with recent ipsilateral thromboembolic symptoms: An in vivo study at 3T,MR carotid plaque imaging and contrast-enhanced MR angiography identifies lesions associated with recent ipsilateral thromboembolic symptoms: an in vivo study at …,H Ota,54,86.36%,90.48%
The role mechanical forces play in advanced human carotid plaque progression: New insights from an in vivo MRI multi-year patient-tracking 3D FSI study,The Role Mechanical Forces Play in Advanced Human Carotid Plaque Progression: New Insights from an In Vivo MRI Multi-Year Patient-Tracking 3D FSI Study,G Canton C Yuan,0,34.78%,39.13%
Improved carotid intraplaque hemorrhage imaging using a slab-selective phase-sensitive inversion-recovery (SPI) sequence,Improved carotid intraplaque hemorrhage imaging using a slab‐selective phase‐sensitive inversion‐recovery (SPI) sequence,J Wang C Yuan,45,75.00%,75.00%
Optimal processing of isotropic 3D black-blood MRI for accurate estimation of vessel wall thickness,Optimal processing of isotropic 3D black-blood MRI For accurate estimation of vessel wall thickness,B Chiu,0,92.86%,92.86%
Minimization of MR contrast weightings for the comprehensive evaluation of carotid atherosclerotic disease,Minimization of MR contrast weightings for the comprehensive evaluation of carotid atherosclerotic disease,C Yuan,24,100.00%,100.00%
Scan-rescan reproducibility of carotid atherosclerotic plaque morphology and tissue composition measurements using multicontrast MRI at 3T,Scan‐rescan reproducibility of carotid atherosclerotic plaque morphology and tissue composition measurements using multicontrast MRI at 3T,,67,93.75%,93.75%
Geometric and compositional appearance of atheroma in an angiographically normal carotid artery in patients with atherosclerosis,Geometric and compositional appearance of atheroma in an angiographically normal carotid artery in patients with atherosclerosis,H Ota,58,100.00%,100.00%
Carotid intraplaque hemorrhage imaging at 3.0-T MR imaging: Comparison of the diagnostic performance of three T1-weighted sequences,Carotid intraplaque hemorrhage imaging at 3.0-T MR imaging: comparison of the diagnostic performance of three T1-weighted sequences,H Ota,115,94.12%,94.12%
MRI of carotid atherosclerosis: Clinical implications and future directions,MRI of carotid atherosclerosis: clinical implications and future directions,ZA Fayad,116,88.89%,88.89%
Predictors of surface disruption with MR imaging in asymptomatic carotid artery stenosis,Predictors of surface disruption with MR imaging in asymptomatic carotid artery stenosis,C Yuan,69,100.00%,100.00%
Enhanced image quality in black-blood MRI using the improved motion-sensitized driven-equilibrium (iMSDE) sequence,Enhanced image quality in black‐blood MRI using the improved motion‐sensitized driven‐equilibrium (iMSDE) sequence,J Wang C Yuan,89,76.92%,76.92%
Longitudinal distribution of mechanical stresses in carotid plaques of symptomatic patients,Longitudinal distribution of mechanical stresses in carotid plaques of symptomatic patients,SA Thrysøe C Yuan,17,100.00%,100.00%
MRI in the early identification and classification of high-risk atherosclerotic carotid plaques,MRI in the early identification and classification of high-risk atherosclerotic carotid plaques,C Yuan,49,100.00%,100.00%
Localized measurement of atherosclerotic plaque inflammatory burden with dynamic contrast-enhanced MRI,Localized measurement of atherosclerotic plaque inflammatory burden with dynamic contrast–enhanced MRI,H Chen,20,90.91%,90.91%
3D critical plaque wall stress is a better predictor of carotid plaque rupture sites than flow shear stress: An in vivo MRI-based 3D FSI study,3D critical plaque wall stress is a better predictor of carotid plaque rupture sites than flow shear stress: an in vivo MRI-based 3D FSI study,Z Teng G Canton C Yuan,60,96.00%,96.00%
Sex differences in patients with asymptomatic carotid atherosclerotic plaque: In vivo 3.0-T magnetic resonance study,Sex differences in patients with asymptomatic carotid atherosclerotic plaque,H Ota C Yuan,30,53.33%,88.89%
Efficient flow suppressed MRI improves interscan reproducibility of carotid atherosclerosis plaque burden measurements,Efficient flow suppressed MRI improves interscan reproducibility of carotid atherosclerosis plaque burden measurements,J Wang,24,100.00%,100.00%
High resolution carotid black-blood 3T MR with parallel imaging and dedicated 4-channel surface coils,High resolution carotid black-blood 3T MR with parallel imaging and dedicated 4-channel surface coils,T Saam JG Raya,43,100.00%,100.00%
Cardiovascular magnetic resonance in carotid atherosclerotic disease,Cardiovascular magnetic resonance in carotid atherosclerotic disease,,25,100.00%,100.00%
Rationale and design of the carotid plaque in human for all evaluations with aggressive rosuvastatin therapy (CHALLENGER Trial) - Evaluation by magnetic resonance imaging,Rationale and Design of the Carotid Plaque in Human for All Evaluations With Aggressive Rosuvastatin Therapy (CHALLENGER Trial),,18,33.33%,44.44%
Comment on: Micro magnetic resonance angiography of the finger in systemic sclerosis: Reply,Comment on: Micro magnetic resonance angiography of the finger in systemic sclerosis,,0,84.62%,91.67%
Atherosclerotic plaque imaging by Carotid MRI,Atherosclerotic plaque imaging by carotid MRI,C Yuan,15,83.33%,83.33%
Patient-specific artery shrinkage and 3D zero-stress state in multi-component 3D FSI models for carotid atherosclerotic plaques based on in vivo MRI data,Patient-specific artery shrinkage and 3D zero-stress state in multi-component 3D FSI models for carotid atherosclerotic plaques based on in vivo MRI data,C Yuan G Canton,47,100.00%,100.00%
Contrast-enhanced MRI of carotid atherosclerosis: Dependence on contrast agent,Contrast‐enhanced MRI of carotid atherosclerosis: Dependence on contrast agent,C Yuan,29,88.89%,88.89%
Cardiac Magnetic Resonance Features of the Disruption-Prone and the Disrupted Carotid Plaque,Cardiac magnetic resonance features of the disruption-prone and the disrupted carotid plaque,H Chen,37,41.67%,41.67%
Direct quantitative comparison between cross-relaxation imaging and diffusion tensor imaging of the human brain at 3.0 T,Direct quantitative comparison between cross-relaxation imaging and diffusion tensor imaging of the human brain at 3.0 T,C Yuan,47,100.00%,100.00%
Local critical stress correlates better than global maximum stress with plaque morphological features linked to atherosclerotic plaque vulnerability: An in vivo multi-patient study,Local critical stress correlates better than global maximum stress with plaque morphological features linked to atherosclerotic plaque vulnerability: an in vivo …,Z Teng G Canton,56,82.61%,90.48%
Atherosclerotic plaque progression in carotid arteries: Monitoring with high-spatial-resolution MR imaging - Multicenter trial,Atherosclerotic plaque progression in carotid arteries: monitoring with high-spatial-resolution MR imaging—multicenter trial,D Parker,55,71.43%,83.33%
Hemorrhage and large lipid-rich necrotic cores are independently associated with thin or ruptured fibrous caps: An in vivo 3T MRI study,Hemorrhage and large lipid-rich necrotic cores are independently associated with thin or ruptured fibrous caps,H Ota,51,66.67%,93.33%
The added value of longitudinal black-blood cardiovascular magnetic resonance angiography in the cross sectional identification of carotid atherosclerotic ulceration,The added value of longitudinal black-blood cardiovascular magnetic resonance angiography in the cross sectional identification of carotid atherosclerotic …,,22,89.47%,94.44%
Quantitative evaluation of high intensity signal on MIP images of carotid atherosclerotic plaques from routine TOF-MRA reveals elevated volumes of intraplaque hemorrhage and lipid rich necrotic core,Quantitative evaluation of high intensity signal on MIP images of carotid atherosclerotic plaques from routine TOF-MRA reveals elevated volumes of …,,21,70.37%,100.00%
Characteristics of carotid atherosclerotic plaques of chronic lipid apheresis patients as assessed by in Vivo High-Resolution CMR - A comparative analysis,Characteristics of carotid atherosclerotic plaques of chronic lipid apheresis patients as assessed by In Vivo High-Resolution CMR-a comparative analysis,K Nikolaou,17,80.95%,89.47%
Quantifying effect of intraplaque hemorrhage on critical plaque wall stress in human atherosclerotic plaques using three-dimensional fluid-structure interaction models,Quantifying effect of intraplaque hemorrhage on critical plaque wall stress in human atherosclerotic plaques using three-dimensional fluid-structure interaction models,G Canton,14,100.00%,100.00%
Plaque characteristics in the superficial femoral artery correlate with walking impairment questionnaire scores in peripheral arterial disease: The Walking and leg Circulation Study (WALCS) iii,Plaque Characteristics in the Superficial Femoral Artery Correlate with Walking Impairment Questionnaire Scores in Peripheral Arterial Disease: The Walking and Leg …,TJ Carroll,0,36.00%,38.10%
Accuracy of MRI to identify the coronary artery plaque: A comparative study with intravascular ultrasound,Accuracy of MRI to identify the coronary artery plaque: a comparative study with intravascular ultrasound,,32,93.33%,93.33%
MRI of auto-transplantation of bone marrow-derived stem-progenitor cells for potential repair of injured arteries,MRI of auto-transplantation of bone marrow-derived stem-progenitor cells for potential repair of injured arteries,Y Meng F Zhang J Wang,9,100.00%,100.00%
"Prevalence of nonstenosing, complicated atherosclerotic plaques in cryptogenic stroke","Prevalence of nonstenosing, complicated atherosclerotic plaques in cryptogenic stroke",,105,100.00%,100.00%
Using in vivo cine and 3d multi-contrast MRI to determine human atherosclerotic carotid artery material properties and circumferential shrinkage rate and their impact on stress/strain predictions,Using in vivo Cine and 3D multi-contrast MRI to determine human atherosclerotic carotid artery material properties and circumferential shrinkage rate and their impact …,G Canton C Yuan,20,76.92%,86.96%
High-Field Atherosclerotic Plaque Magnetic Resonance Imaging,High-field atherosclerotic plaque magnetic resonance imaging,C Yuan J Wang,8,0.00%,0.00%
Discriminating carotid atherosclerotic lesion severity by luminal stenosis and plaque burden: A comparison utilizing high-resolution magnetic resonance imaging at 3.0 tesla,Discriminating carotid atherosclerotic lesion severity by luminal stenosis and plaque burden,,63,47.62%,90.91%
Fast plaque burden assessment of the femoral artery using 3D black-blood MRI and automated segmentation,Fast plaque burden assessment of the femoral artery using 3D black‐blood MRI and automated segmentation,B Chiu J Sun J Wang,13,93.33%,93.33%
Time-efficient black blood RCA wall imaging at 3T using improved motion sensitized driven equilibrium (iMSDE): Feasibility and reproducibility,Time-efficient black blood RCA wall imaging at 3T using improved motion sensitized driven equilibrium (iMSDE): feasibility and reproducibility,J Wang ME Kooi,7,94.44%,94.44%
Correlation of coronary plaque phenotype and carotid atherosclerotic plaque composition,Correlation of coronary plaque phenotype and carotid atherosclerotic plaque composition,C Yuan,15,100.00%,100.00%
Intravascular 3.0 T MRI Using an Imaging-Guidewire: A Feasibility Study in Swine,Intravascular 3.0 T MRI using an imaging-guidewire: a feasibility study in swine,F Zhang J Wang C Yuan,5,50.00%,50.00%
Carotid artery atherosclerosis: Effect of intensive lipid therapy on the vasa vasorum - Evaluation by using dynamic contrast-enhanced MR imaging,Carotid artery atherosclerosis: effect of intensive lipid therapy on the vasa vasorum—evaluation by using dynamic contrast-enhanced MR imaging,H Chen,72,80.00%,88.89%
Superficial femoral artery plaque and functional performance in peripheral arterial disease: Walking and leg circulation study (Walcs III),Superficial femoral artery plaque and functional performance in peripheral arterial disease: walking and leg circulation study (WALCS III),TJ Carroll,18,88.89%,88.89%
Impact of flow rates in a cardiac cycle on correlations between advanced human carotid plaque progression and mechanical flow shear stress and plaque wall stress,Impact of flow rates in a cardiac cycle on correlations between advanced human carotid plaque progression and mechanical flow shear stress and plaque …,G Canton C Yuan,12,88.00%,104.35%
Extended graphical model for analysis of dynamic contrast-enhanced MRI,Extended graphical model for analysis of dynamic contrast‐enhanced MRI,H Chen C Yuan,22,88.89%,88.89%
"Superficial femoral artery plaque, the ankle-brachial index, and leg symptoms in peripheral arterial disease the walking and leg circulation study (WALCS) III","Superficial Femoral Artery Plaque, the Ankle-Brachial Index, and Leg Symptoms in Peripheral Arterial Disease",MH Criqui,16,18.18%,42.86%
MR imaging of carotid plaque composition during lipid-lowering therapy: A prospective assessment of effect and time course,MR imaging of carotid plaque composition during lipid-lowering therapy: a prospective assessment of effect and time course,,92,94.12%,94.12%
What will noninvasive carotid atherosclerosis imaging show us about high-risk coronary plaques?,What will noninvasive carotid atherosclerosis imaging show us about high-risk coronary plaques?,C Yuan,4,100.00%,100.00%
Fast bound pool fraction imaging of the in vivo rat brain: Association with myelin content and validation in the C6 glioma model,Fast bound pool fraction imaging of the in vivo rat brain: association with myelin content and validation in the C6 glioma model,C Yuan,58,95.45%,95.45%
Carotid plaque assessment using fast 3D isotropic resolution black-blood MRI,Carotid plaque assessment using fast 3D isotropic resolution black‐blood MRI,J Wang,98,90.00%,90.00%
Carotid MRI: A tool for monitoring individual response to cardiovascular therapy?,Carotid MRI: a tool for monitoring individual response to cardiovascular therapy?,C Yuan,14,90.91%,90.91%
Intraplaque hemorrhage is associated with higher structural stresses in human atherosclerotic plaques: An in vivo MRI-based 3d fluid-structure interaction study,Intraplaque hemorrhage is associated with higher structural stresses in human atherosclerotic plaques: an in vivo MRI-based 3D fluid-structure interaction …,Z Teng G Canton,30,80.00%,84.21%
Prevalence of compositional features in subclinical carotid atherosclerosis determined by high-resolution magnetic resonance imaging in chinese patients with coronary artery disease,Prevalence of compositional features in subclinical carotid atherosclerosis determined by high-resolution magnetic resonance imaging in Chinese patients with …,XH Zhou,17,76.19%,88.89%
A noninvasive imaging approach to assess plaque severity: The carotid atherosclerosis score,A noninvasive imaging approach to assess plaque severity: the carotid atherosclerosis score,,55,91.67%,91.67%
MRI plaque imaging and its role in population-based studies,MRI plaque imaging and its role in population-based studies,C Yuan,0,100.00%,100.00%
"The association of lesion eccentricity with plaque morphology and components in the superficial femoral artery: A high-spatial-resolution, multi-contrast weighted CMR study","The association of lesion eccentricity with plaque morphology and components in the superficial femoral artery: a high-spatial-resolution, multi-contrast …",,42,76.19%,88.89%
Imaging biomarkers of cardiovascular disease,Imaging biomarkers of cardiovascular disease,J Wang G Canton,27,100.00%,100.00%
"""A combined solenoid-surface RF coil for high-resolution whole-brain rat imaging on a 3.0 tesla clinical MR scanner",A combined solenoid‐surface RF coil for high‐resolution whole‐brain rat imaging on a 3.0 tesla clinical MR scanner,C Yuan CE Hayes,10,76.47%,76.47%
Advanced human carotid plaque progression correlates positively with flow shear stress using follow-up scan data: An in vivo MRI multi-patient 3D FSI study,Advanced human carotid plaque progression correlates positively with flow shear stress using follow-up scan data: an in vivo MRI multi-patient 3D FSI study,G Canton C Yuan,56,95.65%,95.65%
Ferritin overexpression for noninvasive magnetic resonance imaging-based tracking of stem cells transplanted into the heart,Ferritin overexpression for noninvasive magnetic resonance imaging–based tracking of stem cells transplanted into the heart,,63,93.33%,93.33%
MR carotid plaque imaging and contrast-enhanced MR angiography identifies lesions associated with recent ipsilateral thromboembolic symptoms: An in vivo study at 3T,MR carotid plaque imaging and contrast-enhanced MR angiography identifies lesions associated with recent ipsilateral thromboembolic symptoms: an in vivo study at …,H Ota,54,86.36%,90.48%
The role mechanical forces play in advanced human carotid plaque progression: New insights from an in vivo MRI multi-year patient-tracking 3D FSI study,The Role Mechanical Forces Play in Advanced Human Carotid Plaque Progression: New Insights from an In Vivo MRI Multi-Year Patient-Tracking 3D FSI Study,G Canton C Yuan,0,34.78%,39.13%
Improved carotid intraplaque hemorrhage imaging using a slab-selective phase-sensitive inversion-recovery (SPI) sequence,Improved carotid intraplaque hemorrhage imaging using a slab‐selective phase‐sensitive inversion‐recovery (SPI) sequence,J Wang C Yuan,45,75.00%,75.00%
Optimal processing of isotropic 3D black-blood MRI for accurate estimation of vessel wall thickness,Optimal processing of isotropic 3D black-blood MRI For accurate estimation of vessel wall thickness,B Chiu,0,92.86%,92.86%
Minimization of MR contrast weightings for the comprehensive evaluation of carotid atherosclerotic disease,Minimization of MR contrast weightings for the comprehensive evaluation of carotid atherosclerotic disease,C Yuan,24,100.00%,100.00%
Scan-rescan reproducibility of carotid atherosclerotic plaque morphology and tissue composition measurements using multicontrast MRI at 3T,Scan‐rescan reproducibility of carotid atherosclerotic plaque morphology and tissue composition measurements using multicontrast MRI at 3T,,67,93.75%,93.75%
Geometric and compositional appearance of atheroma in an angiographically normal carotid artery in patients with atherosclerosis,Geometric and compositional appearance of atheroma in an angiographically normal carotid artery in patients with atherosclerosis,H Ota,58,100.00%,100.00%
Carotid intraplaque hemorrhage imaging at 3.0-T MR imaging: Comparison of the diagnostic performance of three T1-weighted sequences,Carotid intraplaque hemorrhage imaging at 3.0-T MR imaging: comparison of the diagnostic performance of three T1-weighted sequences,H Ota,115,94.12%,94.12%
MRI of carotid atherosclerosis: Clinical implications and future directions,MRI of carotid atherosclerosis: clinical implications and future directions,ZA Fayad,116,88.89%,88.89%
Predictors of surface disruption with MR imaging in asymptomatic carotid artery stenosis,Predictors of surface disruption with MR imaging in asymptomatic carotid artery stenosis,C Yuan,69,100.00%,100.00%
